,Number,Date,UID,Desc,Group,Cat,text_prep,text_stem,text_sw,text_lemm
1588,1154612,13.12.2021 16:46,62f5beff-2753-490c-8115-01cfa320ee40, Лопнула пластиковая труба КНС. требуется ее замена,Управление домом,Сантехника, лопнула пластиковая труба кнс требуется ее замена,лопнул пластиков труб кнс треб зам,лопнула пластиковая труба кнс требуется замена,"лопнуть пластиковый труба кнс требоваться замена 
"
1589,1154613,13.12.2021 16:55,550613fe-1f16-4387-b656-83bb33304a83,Течь трубы по вентканалу ,Управление домом,Сантехника,течь трубы по вентканалу ,теч труб вентканал,течь трубы вентканалу,"течь труба вентканал 
"
1590,1154614,13.12.2021 16:58,3ea2a732-65a8-4745-ba85-5f58377f37de,Засор КНС в санузле ,Управление домом,Канализация,засор кнс в санузле ,засор кнс санузл,засор кнс санузле,"засор кнс санузел 
"
1591,1154615,13.12.2021 16:59,3ea2a732-65a8-4745-ba85-5f58377f37de,Засор КНС в санузле ,Управление домом,Канализация,засор кнс в санузле ,засор кнс санузл,засор кнс санузле,"засор кнс санузел 
"
1592,1154616,13.12.2021 16:59,b925293e-6713-40fa-b0c0-6e1faac0bd6f,Нет ГВС и нет ЦО в течении 2 часов,Управление домом,Отопление (Отсутствие),нет гвс и нет цо в течении часов,гвс цо течен час,гвс цо течении часов,"гвс цо течение часы 
"
1593,1154617,13.12.2021 17:01,c1cb2572-87f2-4f52-8d19-5f369510b1e5,Нет электричества во всем доме,Управление домом,Электроэнергия (Отсутствие),нет электричества во всем доме,электричеств всем дом,электричества всем доме,"электричество весь дом 
"
1594,1154618,13.12.2021 17:02,9166b73f-355c-4e2c-a7ae-f1a466730276,"Течь с потолка кухни, наверху не открывают",Управление домом,Сантехника,течь с потолка кухни наверху не открывают,теч потолк кухн наверх открыва,течь потолка кухни наверху открывают,"течь потолок кухня наверху открывать 
"
1595,1154619,13.12.2021 17:10,7d9cfcbe-e375-41b0-b46f-d0c5c1f4ba31,Низкая t батарей ЦО во всей квартире,Управление домом,Отопление (Нарушение температурного режима),низкая t батарей цо во всей квартире,низк t батар цо все квартир,низкая t батарей цо всей квартире,"низкий t батарея цо весь квартира 
"
1596,1154620,13.12.2021 17:11,7d9cfcbe-e375-41b0-b46f-d0c5c1f4ba31,Чуть теплые батареи в квартире ,Управление домом,Отопление (Нарушение температурного режима),чуть теплые батареи в квартире ,тепл батар квартир,теплые батареи квартире,"теплый батарея квартира 
"
1597,1154621,2021-12-13 17:17:58.030,1180c488-99f9-4264-b8a8-71b8e014bd09,"Сильный запах КНС из подвала, проверить на засор",Управление домом,Канализация,сильный запах кнс из подвала проверить на засор,сильн зап кнс подва провер засор,сильный запах кнс подвала проверить засор,"сильный запах кнс подвал проверять засор 
"
1598,1154623,13.12.2021 17:40,96db4ee3-d1da-4708-975e-71af57c0732c,Из крана ГВС идет ХВС ,Управление домом,ГВС (Несоответствие температурных параметров),из крана гвс идет хвс ,кран гвс идет хвс,крана гвс идет хвс,"кран гвс идти хвс 
"
1599,1154624,13.12.2021 18:02,bef36531-9088-403a-aa21-1404df42873d,Запах КНС в 4 подъ.,Управление домом,Канализация,запах кнс в подъ ,зап кнс под,запах кнс подъ,"запах кнс 
"
1600,1154625,13.12.2021 18:05,bef36531-9088-403a-aa21-1404df42873d,Запах КНС в 4 подъ.,Управление домом,Канализация,запах кнс в подъ ,зап кнс под,запах кнс подъ,"запах кнс 
"
1601,1154626,13.12.2021 18:07,8c9459a4-fbd8-494e-aed3-50db1201f735,Чуть теплые батареи в спальной ,Управление домом,Отопление (Нарушение температурного режима),чуть теплые батареи в спальной ,тепл батар спальн,теплые батареи спальной,"теплый батарея спальный 
"
1602,1154627,13.12.2021 18:32,8c9459a4-fbd8-494e-aed3-50db1201f735,Чуть теплые батареи в квартире ,Управление домом,Отопление (Нарушение температурного режима),чуть теплые батареи в квартире ,тепл батар квартир,теплые батареи квартире,"теплый батарея квартира 
"
1603,1154628,2021-12-13 18:41:31.086,8c9459a4-fbd8-494e-aed3-50db1201f735,Чуть теплые батареи в квартире ,Управление домом,Отопление (Нарушение температурного режима),чуть теплые батареи в квартире ,тепл батар квартир,теплые батареи квартире,"теплый батарея квартира 
"
1604,1154629,13.12.2021 18:51,1180c488-99f9-4264-b8a8-71b8e014bd09,"Сильный запах КНС из подвала, проверить на засор",Управление домом,Канализация,сильный запах кнс из подвала проверить на засор,сильн зап кнс подва провер засор,сильный запах кнс подвала проверить засор,"сильный запах кнс подвал проверять засор 
"
1605,1154630,13.12.2021 18:56,bef36531-9088-403a-aa21-1404df42873d,Запах КНС в 4 подъ.,Управление домом,Канализация,запах кнс в подъ ,зап кнс под,запах кнс подъ,"запах кнс 
"
1606,1154631,13.12.2021 19:04,04e668c0-e11d-44e8-8ee3-f6154b129f86,Х\б во 2 подъезде ,Управление домом,Отопление (Отсутствие),х б во подъезде ,х б подъезд,х б подъезде,"х б подъезд 
"
1607,1154632,13.12.2021 19:22,ab2d4169-0e32-4056-9d85-e25f8a0bf18c,Требуется замена участка трубы КНС в подвале подъезда №6,Управление домом,Канализация,требуется замена участка трубы кнс в подвале подъезда № ,треб зам участк труб кнс подвал подъезд №,требуется замена участка трубы кнс подвале подъезда №,"требоваться замена участок труба кнс подвал подъезд № 
"
1608,1154633,13.12.2021 19:35,c5227406-8dd5-4399-901e-3f892e0657f6,"Х/Б зал, ванная, спальня чуть теплые батареи",Управление домом,Отопление (Отсутствие),х б зал ванная спальня чуть теплые батареи,х б зал ван спальн тепл батар,х б зал ванная спальня теплые батареи,"х б зал ванная спальня теплый батарея 
"
1609,1154634,2021-12-13 19:37:18.099,c07cab2c-34d7-47b8-bbc8-b43b1421ee42,Течь батареи на кухне,Управление домом,Сантехника,течь батареи на кухне,теч батар кухн,течь батареи кухне,"течь батарея кухня 
"
1610,1154635,13.12.2021 19:39,f6510c31-6ea6-4cbc-93a7-571ec7c05d1b,Топят сверху в коридоре,Управление домом,Сантехника,топят сверху в коридоре,топ сверх коридор,топят сверху коридоре,"топить сверху коридор 
"
1611,1154636,13.12.2021 19:59,4a285d6d-02bb-4e48-be7f-7f3fad35b80f,"Течь батареи в зале ,лопнула резьба",Управление домом,Сантехника,течь батареи в зале лопнула резьба,теч батар зал лопнул резьб,течь батареи зале лопнула резьба,"течь батарея зал лопнуть резьба 
"
1612,1154638,13.12.2021 20:25,a4eeb80a-724c-43b2-9ac0-3752e607c28d,"Топят сверху на кухне,и ванной комнате",Управление домом,Сантехника,топят сверху на кухне и ванной комнате,топ сверх кухн ван комнат,топят сверху кухне ванной комнате,"топить сверху кухня ванный комната 
"
1613,1154639,2021-12-13 20:32:20.084,1879e2fc-f508-41c2-9300-7fdfcf02c033,Опять топят сверху ,Управление домом,Сантехника,опять топят сверху ,топ сверх,топят сверху,"топить сверху 
"
1614,1154640,13.12.2021 20:46,89047c9b-b64c-4839-80c5-de8d47312c7e,Х/Б сан.узел и кухня по стояку,Управление домом,Отопление (Отсутствие),х б сан узел и кухня по стояку,х б сан узел кухн стояк,х б сан узел кухня стояку,"х б сан узел кухня стояк 
"
1615,1154641,13.12.2021 20:49,bef36531-9088-403a-aa21-1404df42873d,Засор КНС люка возле  подъезда  №4,Управление домом,Канализация,засор кнс люка возле подъезда № ,засор кнс люк возл подъезд №,засор кнс люка возле подъезда №,"засор кнс люк возле подъезд № 
"
1616,1154642,13.12.2021 20:52,c7151ebc-7d57-41c4-8225-42730bf72c88,Х/Б на кухне,Управление домом,Отопление (Отсутствие),х б на кухне,х б кухн,х б кухне,"х б кухня 
"
1617,1154643,13.12.2021 20:54,c7151ebc-7d57-41c4-8225-42730bf72c88,Х/Б на кухне,Управление домом,Отопление (Отсутствие),х б на кухне,х б кухн,х б кухне,"х б кухня 
"
1618,1154644,13.12.2021 21:06,25b3e376-bcfc-4926-9476-a32910a9c5de,"засор КНС сан.узел ,кухня",Управление домом,Канализация,засор кнс сан узел кухня,засор кнс сан узел кухн,засор кнс сан узел кухня,"засор кнс сан узел кухня 
"
1619,1154645,13.12.2021 21:10,8012f310-1e2b-4299-ab17-e526bb68920b,Топят сверху из 407,Управление домом,Сантехника,топят сверху из ,топ сверх,топят сверху,"топить сверху 
"
1620,1154646,13.12.2021 21:13,b44c7dce-e826-4a05-959a-af867d4cf45e,Засор КНС кухня,Управление домом,Канализация,засор кнс кухня,засор кнс кухн,засор кнс кухня,"засор кнс кухня 
"
1621,1154647,2021-12-13 21:15:22.097,c8989773-76f0-4dba-a314-ee0431818302,Течь ГВС по дороге,Управление домом,Сантехника,течь гвс по дороге,теч гвс дорог,течь гвс дороге,"течь гвс дорога 
"
1622,1154648,13.12.2021 21:42,b44c7dce-e826-4a05-959a-af867d4cf45e,"Засор КНС по кухне, требуется прочистка с чердака длинным тросом",Управление домом,Канализация,засор кнс по кухне требуется прочистка с чердака длинным тросом,засор кнс кухн треб прочистк чердак длин трос,засор кнс кухне требуется прочистка чердака длинным тросом,"засор кнс кухня требоваться прочистка чердак длинный трос 
"
1623,1154649,13.12.2021 22:06,a8bb2035-06a0-49ba-aef6-f4f9712ab024,"нужны плотники ,вскрыть штробу , течь трубы",Управление домом,Общие вопросы,нужны плотники вскрыть штробу течь трубы,нужн плотник вскрыт штроб теч труб,нужны плотники вскрыть штробу течь трубы,"нужный плотник вскрывать штроба течь труба 
"
1624,1154650,13.12.2021 22:35,1879e2fc-f508-41c2-9300-7fdfcf02c033,кв.№ 45 топит кв. №41 АДС-Потапов перекрыли ГВС по кухонному стояку. откл. ГВС ХВС сан.узел и ГВС кухня. В подвале установили заглушку на кран ГВС кух.стояк.,Управление домом,Сантехника,кв № топит кв № адс потапов перекрыли гвс по кухонному стояку откл гвс хвс сан узел и гвс кухня в подвале установили заглушку на кран гвс кух стояк ,кв № топ кв № адс потап перекр гвс кухон стояк откл гвс хвс сан узел гвс кухн подвал установ заглушк кран гвс кух стояк,кв № топит кв № адс потапов перекрыли гвс кухонному стояку откл гвс хвс сан узел гвс кухня подвале установили заглушку кран гвс кух стояк,"кв № топить кв № адс потапов перекрывать гвс кухонный стояк откл гвс хвс сан узел гвс кухня подвал устанавливать заглушка кран гвс куха стояк 
"
1625,1154651,14.12.2021 2:22,e86aae9a-45f6-4dff-8c90-22f998fb82ff,Топят сверху (сан.узел) из кв.68,Управление домом,Сантехника,топят сверху сан узел из кв ,топ сверх сан узел кв,топят сверху сан узел кв,"топить сверху сан узел кв 
"
1626,1154652,14.12.2021 2:24,e86aae9a-45f6-4dff-8c90-22f998fb82ff,Топят сверху (сан.узел) из кв.68,Управление домом,Сантехника,топят сверху сан узел из кв ,топ сверх сан узел кв,топят сверху сан узел кв,"топить сверху сан узел кв 
"
1627,1154653,2021-12-14 06:49:29.026,c224e369-a729-43e8-a27d-a08d9349a9ce,Течь батареи в ванной,Управление домом,Сантехника,течь батареи в ванной,теч батар ван,течь батареи ванной,"течь батарея ванная 
"
1628,1154654,14.12.2021 7:28,b1ab4cb9-3502-4c37-9a47-46f482a5dc55,"Установить кран-фильтр и счетчик на ХВС, заглушить одну трубу. (материал есть)",Управление домом,Сантехника,установить кран фильтр и счетчик на хвс заглушить одну трубу материал есть ,установ кран фильтр счетчик хвс заглуш одн труб материа,установить кран фильтр счетчик хвс заглушить одну трубу материал,"устанавливать кран фильтр счетчик хвс заглушать труба материал 
"
1629,1154655,14.12.2021 7:34,9b9c9a49-2072-4679-a18d-8b0a548d40b1,Х/ГВС Х/З весь дом,Управление домом,ГВС (Несоответствие температурных параметров),х гвс х з весь дом,х гвс х з ве дом,х гвс х з весь дом,"х гвс х з весь дом 
"
1630,1154656,14.12.2021 7:36,8bc8ad35-97c2-4c5a-b06c-a20865d1cc94,Течь трубы ЦО в кухне,Управление домом,Сантехника,течь трубы цо в кухне,теч труб цо кухн,течь трубы цо кухне,"течь труба цо кухня 
"
1631,1154659,2021-12-14 07:44:09.008,9166b73f-355c-4e2c-a7ae-f1a466730276,"АДС отключила  ГВС на весь дом, топит 8 квартиру, туда нет доступа.",Управление домом,Сантехника,адс отключила гвс на весь дом топит квартиру туда нет доступа ,адс отключ гвс ве дом топ квартир туд доступ,адс отключила гвс весь дом топит квартиру туда доступа,"адс отключать гвс весь дом топить квартира туда доступ 
"
1632,1154666,14.12.2021 7:55,9166b73f-355c-4e2c-a7ae-f1a466730276,Заменить  замок на подвальной двери 2 подъезда.,Управление домом,Общие вопросы,заменить замок на подвальной двери подъезда ,замен замок подвальн двер подъезд,заменить замок подвальной двери подъезда,"заменять замок подвальный дверь подъезд 
"
1633,1154667,14.12.2021 7:56,9c60bf12-7800-453d-93c5-0d17aa987f0e,Чуть теплая батарея на кухне,Управление домом,Отопление (Нарушение температурного режима),чуть теплая батарея на кухне,тепл батаре кухн,теплая батарея кухне,"теплый батарея кухня 
"
1634,1154670,14.12.2021 8:02,1036cd12-c222-4eff-963f-c1e4307d3b88,Замер темп. режима в квартире и фиксация неравномерного прогрева батарей,Управление домом,Общие вопросы,замер темп режима в квартире и фиксация неравномерного прогрева батарей,замер темп режим квартир фиксац неравномерн прогрев батар,замер темп режима квартире фиксация неравномерного прогрева батарей,"замирать темп режим квартира фиксация неравномерный прогрев батарея 
"
1635,1154671,14.12.2021 8:03,d289071d-fc5a-4a92-9a59-0eba5d446cd2,5 под  не горит  освещение перед подъездом,Управление домом,Электроэнергия (Отсутствие), под не горит освещение перед подъездом,гор освещен подъезд,горит освещение подъездом,"гореть освещение подъезд 
"
1636,1154672,14.12.2021 8:03,cc07db70-9012-4bbb-bc0f-53f8ca1cd5d0,Не греет батарея Цо в спальне,Управление домом,Отопление (Нарушение температурного режима),не греет батарея цо в спальне,греет батаре цо спальн,греет батарея цо спальне,"греть батарея цо спальня 
"
1637,1154673,14.12.2021 8:12,9efd060f-c9ee-4cff-ad09-565c5c04c254,В тамбуре не горит потолочный светильник после протопа,Управление домом,Неисправности проводки электроснабжения,в тамбуре не горит потолочный светильник после протопа,тамбур гор потолочн светильник протоп,тамбуре горит потолочный светильник протопа,"тамбур гореть потолочный светильник протоп 
"
1638,1154674,14.12.2021 8:12,3c225aac-c0fa-4555-ad3f-26edc8f30ce3,"Установить счетчики ГВС и ХВС , материал в наличии",Управление домом,Сантехника,установить счетчики гвс и хвс материал в наличии,установ счетчик гвс хвс материа налич,установить счетчики гвс хвс материал наличии,"устанавливать счетчик гвс хвс материал наличие 
"
1639,1154676,14.12.2021 8:21,a5de8ac1-ae04-4ee0-a0ee-15159cfbac05,Шум течи воды в батарее по стояку  в дальней комнате,Управление домом,Сантехника,шум течи воды в батарее по стояку в дальней комнате,шум теч вод батар стояк дальн комнат,шум течи воды батарее стояку дальней комнате,"шум течь вода батарея стояк дальний комната 
"
1640,1154678,2021-12-14 08:24:11.072,9c60bf12-7800-453d-93c5-0d17aa987f0e,Замер темп. режима и фиксация неравномерного прогрева батарей,Управление домом,Общие вопросы,замер темп режима и фиксация неравномерного прогрева батарей,замер темп режим фиксац неравномерн прогрев батар,замер темп режима фиксация неравномерного прогрева батарей,"замирать темп режим фиксация неравномерный прогрев батарея 
"
1641,1154679,14.12.2021 8:27,94ada630-8c06-4ef6-ac0a-623091cfd311,"Замена смесителя  в душе ,смеситель в умывальнике,ревизия 2 х см/б",Управление домом,Сантехника,замена смесителя в душе смеситель в умывальнике ревизия х см б,зам смесител душ смесител умывальник ревиз х см б,замена смесителя душе смеситель умывальнике ревизия х см б,"замена смеситель душа смеситель умывальник ревизия х см б 
"
1642,1154682,14.12.2021 8:29,94ada630-8c06-4ef6-ac0a-623091cfd311,Замена выкл.в муз зале,Управление домом,Электроэнергия (Отсутствие),замена выкл в муз зале,зам выкл муз зал,замена выкл муз зале,"замена выкла муза зал 
"
1643,1154683,14.12.2021 8:32,2cd44e63-f118-4634-829d-3d8b800e7a3f,"Установка 4 х розеток и прокладка кабель канала,сегодня после 14.00",Управление домом,Неисправности проводки электроснабжения,установка х розеток и прокладка кабель канала сегодня после ,установк х розеток прокладк кабел кана сегодн,установка х розеток прокладка кабель канала сегодня,"установка х розетка прокладка кабель канал сегодня 
"
1644,1154685,14.12.2021 8:37,66b2d248-bd1b-45ce-85c5-8880c9e03567,Чуть теплые батареи в двух комнатах,Управление домом,Отопление (Нарушение температурного режима),чуть теплые батареи в двух комнатах,тепл батар двух комнат,теплые батареи двух комнатах,"теплый батарея комната 
"
1645,1154686,14.12.2021 8:46,9fb35228-3ba5-41b2-bd92-b3925e05c34e,Х\б в спальне,Управление домом,Отопление (Нарушение температурного режима),х б в спальне,х б спальн,х б спальне,"х б спальня 
"
1646,1154687,14.12.2021 8:47,a61f5fdd-2e1e-4a80-a212-2b8c72a63a49,Нет освещения на л/площ,Управление домом,Электроэнергия (Отсутствие),нет освещения на л площ,освещен л площ,освещения л площ,"освещение л площ 
"
1647,1154688,14.12.2021 8:48,14ab2016-c5fc-4303-bea1-c17a53ba1199,Засор КНС  В С/У,Управление домом,Канализация,засор кнс в с у,засор кнс,засор кнс,"засор кнс 
"
1648,1154691,14.12.2021 8:53,c9ea8d70-af7c-44d0-9502-6d0247b7889e,ГВС -холодная,Управление домом,ГВС (Несоответствие температурных параметров),гвс холодная,гвс холодн,гвс холодная,"гвс холодный 
"
1649,1154693,14.12.2021 8:55,3ea2a732-65a8-4745-ba85-5f58377f37de,Низкая t батарей во всей квартире всю неделю,Управление домом,Отопление (Нарушение температурного режима),низкая t батарей во всей квартире всю неделю,низк t батар все квартир недел,низкая t батарей всей квартире неделю,"низкий t батарея весь квартира неделя 
"
1650,1154694,14.12.2021 8:55,89047c9b-b64c-4839-80c5-de8d47312c7e,Течь змеевика,Управление домом,Сантехника,течь змеевика,теч змеевик,течь змеевика,"течь змеевик 
"
1651,1154695,14.12.2021 9:04,ccaf80ae-2c1f-45fc-8146-21b1f5b1305b,В см/б не поступает вода,Управление домом,Сантехника,в см б не поступает вода,см б поступа вод,см б поступает вода,"см б поступать вода 
"
1652,1154698,14.12.2021 9:12,bb80235a-f3b7-40cf-830d-81acd5a89a2b,Х/Б в спальне,Управление домом,Отопление (Отсутствие),х б в спальне,х б спальн,х б спальне,"х б спальня 
"
1653,1154699,14.12.2021 9:13,c9ea8d70-af7c-44d0-9502-6d0247b7889e,Х/б по стояку кухни,Управление домом,Отопление (Нарушение температурного режима),х б по стояку кухни,х б стояк кухн,х б стояку кухни,"х б стояк кухня 
"
1654,1154700,14.12.2021 9:14,724dcbad-b9b7-48b9-b4d5-0a48356638d3,Не раб.вентиляция,Управление домом,Отсутствие тяги в дымовых и вентеляционных каналов,не раб вентиляция,раб вентиляц,раб вентиляция,"раб вентиляция 
"
1655,1154703,14.12.2021 9:20,b2f62e5c-9b07-4114-8df5-426fd6d8586c,Нет ХВС,Управление домом,ХВС (Отсутствие),нет хвс,хвс,хвс,"хвс 
"
1656,1154704,14.12.2021 9:21,4a285d6d-02bb-4e48-be7f-7f3fad35b80f,"Течь батареи,лопнула резьба-Срочно,авар.уст-ла хомут",Управление домом,Сантехника,течь батареи лопнула резьба срочно авар уст ла хомут,теч батар лопнул резьб срочн авар уст ла хомут,течь батареи лопнула резьба срочно авар уст ла хомут,"течь батарея лопнуть резьба срочно авар уста ла хомут 
"
1657,1154706,14.12.2021 9:26,b2d80054-bccb-4b8c-842e-b24a4a3ead65,Чуть теплые батареи во всей квартире,Управление домом,Отопление (Нарушение температурного режима),чуть теплые батареи во всей квартире,тепл батар все квартир,теплые батареи всей квартире,"теплый батарея весь квартира 
"
1658,1154710,14.12.2021 9:39,1ccd80de-27de-4f37-b93f-721264dc463a,Х/Б ,Управление домом,Отопление (Отсутствие),х б ,х б,х б,"х б 
"
1659,1154712,14.12.2021 9:39,c07cab2c-34d7-47b8-bbc8-b43b1421ee42,"Заменить чугунную батарею на кухне в 26 кв,  требуется сварка.",Управление домом,Сварочные работы,заменить чугунную батарею на кухне в кв требуется сварка ,замен чугун батар кухн кв треб сварк,заменить чугунную батарею кухне кв требуется сварка,"заменять чугунный батарея кухня кв требоваться сварка 
"
1660,1154715,14.12.2021 9:42,921036e5-b908-47d6-8fd8-2139a9d1e14c,Чуть теплые батареи в зале,Управление домом,Отопление (Нарушение температурного режима),чуть теплые батареи в зале,тепл батар зал,теплые батареи зале,"теплый батарея зал 
"
1661,1154717,14.12.2021 9:43,0114ee66-034c-4ca8-8935-742df66ee0d3,Моргаю лампочки по всей квартире.На 17.12.21-9.30,Управление домом,Неисправности проводки электроснабжения,моргаю лампочки по всей квартире на ,морга лампочк все квартир,моргаю лампочки всей квартире,"моргать лампочка весь квартира 
"
1662,1154719,14.12.2021 9:46,3f4542f9-7dbe-4873-ba35-a45a6fab4ec1,Чуть теплая батарея в зале,Управление домом,Отопление (Нарушение температурного режима),чуть теплая батарея в зале,тепл батаре зал,теплая батарея зале,"теплый батарея зал 
"
1663,1154721,14.12.2021 9:47,43ef53e2-f601-45c9-b05e-938920fa7e03,Замена эл.автомата,Управление домом,Неисправности проводки электроснабжения,замена эл автомата,зам эл автомат,замена эл автомата,"замена эл автомат 
"
1664,1154722,14.12.2021 9:47,46b94495-b05e-4d95-bc7e-fafd485a0141,Течь трубы ЦО в спальне группы на 2 этаже,Управление домом,Сантехника,течь трубы цо в спальне группы на этаже,теч труб цо спальн групп этаж,течь трубы цо спальне группы этаже,"течь труба цо спальня группа этаж 
"
1665,1154723,14.12.2021 9:51,47f29ca9-c4ed-4cf4-bd16-672be204e145,нет света,Управление домом,Электроэнергия (Отсутствие),нет света,свет,света,"свет 
"
1666,1154724,14.12.2021 9:51,47f29ca9-c4ed-4cf4-bd16-672be204e145,нет света,Управление домом,Электроэнергия (Отсутствие),нет света,свет,света,"свет 
"
1667,1154725,14.12.2021 9:53,90cff60a-b1ee-4220-8729-62d40b64626e,Х/Б в квартире,Управление домом,Отопление (Отсутствие),х б в квартире,х б квартир,х б квартире,"х б квартира 
"
1668,1154726,14.12.2021 9:54,584f42c3-d54f-4cd9-8161-8bc67c469634,"Идут скачки напряжения в магазине, устранить проблему",Управление домом,Неисправности во вводно-распределительном устройстве,идут скачки напряжения в магазине устранить проблему,идут скачк напряжен магазин устран пробл,идут скачки напряжения магазине устранить проблему,"идти скачки напряжение магазин устранять проблема 
"
1669,1154727,14.12.2021 9:58,9b9c9a49-2072-4679-a18d-8b0a548d40b1,"Закрепить эл.счетчик на панели, шатается,  провести ревизию эл.проводов и автомата",Управление домом,Общие вопросы,закрепить эл счетчик на панели шатается провести ревизию эл проводов и автомата,закреп эл счетчик панел шата провест ревиз эл провод автомат,закрепить эл счетчик панели шатается провести ревизию эл проводов автомата,"закреплять эл счетчик панель шататься проводить ревизия эл провод автомат 
"
1670,1154728,14.12.2021 9:59,3b4563a3-7bcf-4fcc-ab12-2d8ef38c45c8,Не держит см/б,Управление домом,Сантехника,не держит см б,держ см б,держит см б,"держать см б 
"
1671,1154730,14.12.2021 10:02,cc07db70-9012-4bbb-bc0f-53f8ca1cd5d0,Замена  армат. см/б . Течь отс. кранов ГВС  ХВС,Управление домом,Сантехника,замена армат см б течь отс кранов гвс хвс,зам армат см б теч отс кран гвс хвс,замена армат см б течь отс кранов гвс хвс,"замена армата см б течь отс кран гвс хвс 
"
1672,1154731,14.12.2021 10:05,921036e5-b908-47d6-8fd8-2139a9d1e14c,Составить акт замера t режима в зале,Управление домом,Общие вопросы,составить акт замера t режима в зале,состав акт замер t режим зал,составить акт замера t режима зале,"составлять акт замер t режим зал 
"
1673,1154733,14.12.2021 10:09,7a3ee4fb-6b78-45e2-bcf4-c7e8ef5811cf,Сильный запах КНС,Управление домом,Канализация,сильный запах кнс,сильн зап кнс,сильный запах кнс,"сильный запах кнс 
"
1674,1154736,14.12.2021 10:13,2508d377-c5bf-4aee-94cd-a56b61903a4c,Течь смесителя на кухне,Управление домом,Сантехника,течь смесителя на кухне,теч смесител кухн,течь смесителя кухне,"течь смеситель кухня 
"
1675,1154738,14.12.2021 10:18,7d4590e0-ee21-496d-beae-dafd9955bf63,"Засор под мойкой в группе ""Сказка"" на 2 этаже",Управление домом,Канализация,засор под мойкой в группе сказка на этаже,засор мойк групп сказк этаж,засор мойкой группе сказка этаже,"засор мойка группа сказка этаж 
"
1676,1154740,14.12.2021 10:29,2a26953f-4b1c-42b2-9953-72372ba80d4b,Заискрил выыключатель,Управление домом,Неисправности проводки электроснабжения,заискрил выыключатель,заискр выыключател,заискрил выыключатель,"заискрить выыключатель 
"
1677,1154742,14.12.2021 10:40,dcac9f3a-41d8-4d64-b2a6-fba2cf8d47b6,Пропало ХВС и ГВС в квартире,Управление домом,Сантехника,пропало хвс и гвс в квартире,пропа хвс гвс квартир,пропало хвс гвс квартире,"пропадать хвс гвс квартира 
"
1678,1154743,14.12.2021 10:40,815c4c63-bbda-46dc-ae9e-9957430b0d68,Составить акт о течи с потолка,Управление домом,Общие вопросы,составить акт о течи с потолка,состав акт теч потолк,составить акт течи потолка,"составлять акт течь потолок 
"
1679,1154747,14.12.2021 10:49,0c96b1a1-bd5d-4685-a107-28eba92a9b91,Топят с верх. этажа в кухне,Управление домом,Сантехника,топят с верх этажа в кухне,топ верх этаж кухн,топят верх этажа кухне,"топить верх этаж кухня 
"
1680,1154748,14.12.2021 10:50,7a3ee4fb-6b78-45e2-bcf4-c7e8ef5811cf,Засор КНС в подвале 2 подъезда,Управление домом,Канализация,засор кнс в подвале подъезда,засор кнс подвал подъезд,засор кнс подвале подъезда,"засор кнс подвал подъезд 
"
1681,1154749,2021-12-14 10:52:33.030,1879e2fc-f508-41c2-9300-7fdfcf02c033,Х/ГВС по стояку ,Управление домом,ГВС (Несоответствие температурных параметров),х гвс по стояку ,х гвс стояк,х гвс стояку,"х гвс стояк 
"
1682,1154750,2021-12-14 10:53:48.076,2a29c396-49b2-4bce-b578-0863f8b1992f,Со стены от л/марша оч.сильно дует-составить АКТ замера температуры,Управление домом,Общие вопросы,со стены от л марша оч сильно дует составить акт замера температуры,стен л марш оч сильн дует состав акт замер температур,стены л марша оч сильно дует составить акт замера температуры,"стена л марш оч сильно дуть составлять акт замер температура 
"
1683,1154752,14.12.2021 11:05,f6510c31-6ea6-4cbc-93a7-571ec7c05d1b,Составить Акт о протопе,Управление домом,Общие вопросы,составить акт о протопе,состав акт протоп,составить акт протопе,"составлять акт протоп 
"
1684,1154753,14.12.2021 11:07,70dec9ae-4da7-4e38-8301-a7a238e0e600,Радиатор в комнате под окном чуть теплый сверху.холодный снизу.,Управление домом,Отопление (Нарушение температурного режима),радиатор в комнате под окном чуть теплый сверху холодный снизу ,радиатор комнат окн тепл сверх холодн сниз,радиатор комнате окном теплый сверху холодный снизу,"радиатор комната окно теплый сверху холодный снизу 
"
1685,1154756,14.12.2021 11:13,04e668c0-e11d-44e8-8ee3-f6154b129f86,"Х/Б в кв 28,89,90,86,84 и х/б подъеза №2 (не подключено)",Управление домом,Отопление (Нарушение температурного режима),х б в кв и х б подъеза № не подключено ,х б кв х б подъез № подключ,х б кв х б подъеза № подключено,"х б кв х б подъез № подключать 
"
1686,1154757,14.12.2021 11:13,1d560926-0842-47a4-be01-0c769b993dbe,Х/Б на кухне    Х/З,Управление домом,Отопление (Нарушение температурного режима),х б на кухне х з,х б кухн х з,х б кухне х з,"х б кухня х з 
"
1687,1154759,2021-12-14 11:16:34.057,7aab3aa6-2613-46db-add9-2ca424b0cd46,Ремонт эл.розетки в прихожей,Управление домом,Неисправности проводки электроснабжения,ремонт эл розетки в прихожей,ремонт эл розетк прихож,ремонт эл розетки прихожей,"ремонт эл розетка прихожая 
"
1688,1154760,2021-12-14 11:18:04.060,7aab3aa6-2613-46db-add9-2ca424b0cd46,Течь смесителя с душевой сеткой в ванной,Управление домом,Сантехника,течь смесителя с душевой сеткой в ванной,теч смесител душев сетк ван,течь смесителя душевой сеткой ванной,"течь смеситель душевая сетка ванная 
"
